,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,distance
18950,13376103,Nice bedroom in a 60 m? flat near the Eiffel Tower,7316569,Mario,,Vaugirard,48.850749179006655,2.2909613281442422,Private room,40,2,0,,,1,27,853.33
15849,13432085,Room within lovely large flat,32071221,Alexandre,,Vaugirard,48.851478191723004,2.29740186035214,Private room,100,1,0,,,1,189,853.17
33423,1050012,Big studio view on the Eiffel tower,4673119,Chloee,,Passy,48.86600596001566,2.291131136984542,Entire home/apt,111,5,1,2014-05-20,0.04,1,358,852.88
35259,8979682,Luxury apartment 160m2 in Trocad?ro,46918672,Ghislaine,,Passy,48.86452494878014,2.2853249490966454,Entire home/apt,401,3,6,2016-05-29,0.91,1,327,852.79
34856,11538765,"Victor Hugo, 50m?, Paris 16?",4435001,Claudio,,Passy,48.865967731252915,2.2907239641887087,Entire home/apt,149,6,0,,,14,31,852.14
16143,6004073,? Eiffel Tower in neighboring ?,11228469,Somaya,,Vaugirard,48.85074494197743,2.2912560608479264,Entire home/apt,69,3,54,2016-06-23,3.75,2,310,851.62
35204,8723468,Luxury 1BR - Passy / Eiffel,16842733,Michael & Julie,,Passy,48.85785518935935,2.280677681731769,Entire home/apt,150,3,3,2016-01-05,0.34,2,365,851.29
33067,924188,CHARMING STUDIO / TROCADERO,4723070,Nathalie,,Passy,48.86239879976264,2.282389553266591,Entire home/apt,90,5,7,2016-06-15,0.19,1,365,851.24
16568,2904319,COSY APT GRENELLE CHAMP DE MARS,1802008,An?mone,,Vaugirard,48.8507961257375,2.293850026938442,Entire home/apt,150,2,9,2015-10-06,0.37,19,363,850.3
3962,8525247,"Studio, PARIS, 7th district, 18m?",26611824,Lylia,,Palais-Bourbon,48.85816365606392,2.303902063625976,Entire home/apt,65,3,22,2016-06-18,2.87,1,223,850.03
35253,6096764,Cosy apartment 10' to Eiffel Tower,17912226,Benjamin,,Passy,48.85889618605518,2.2807002624412696,Entire home/apt,98,2,0,,,1,0,849.67
34086,5577921,Studio entre Trocad?ro et l'Etoile,21287209,Charles,,Passy,48.8660100626326,2.2919779882365465,Entire home/apt,80,2,25,2016-06-19,2.5,1,36,849.44
35288,194621,Classic Flat near Eiffel Tower,945319,Sylvie,,Passy,48.86505868520442,2.2978796218942907,Entire home/apt,376,5,58,2016-06-13,1.51,1,327,848.48
17418,2878314,Studio Eiffel Tower,7347222,Francois And Scarlett,,Vaugirard,48.85115767787835,2.2960505053379063,Entire home/apt,55,3,3,2016-06-10,1.96,1,350,848.3
4533,3518077,600M FROM THE EIFFEL TOWER!,17713527,St?phanie,,Palais-Bourbon,48.857102570040205,2.3037173637118653,Entire home/apt,99,4,24,2016-06-16,1.3,1,352,848.07
33749,3546554,Chambre 15m2 - Trocad?ro/Passy,17855654,Laurence,,Passy,48.85739417219716,2.280795132658146,Private room,45,5,2,2015-10-12,0.21,1,343,847.77
34388,13448776,Superbe appartement ? 2 pas de la tour Eiffel,76795474,L?a,,Passy,48.859379375418904,2.2808025422179026,Private room,49,1,2,2016-06-19,2.0,1,6,847.6
4805,2689157,Beautiful sunny flat ,7155102,Anne,,Palais-Bourbon,48.86078615416287,2.3032496322189315,Entire home/apt,491,3,4,2016-01-02,0.22,1,213,845.64
3957,12780293,Eiffel Tower - sweet cozy & very quiet flat,68692831,Xavier,,Palais-Bourbon,48.85792944882583,2.3038255800369507,Entire home/apt,90,3,1,2016-06-28,1.0,1,359,845.56
